institutionCode,catalogNumber,binomial,sex,stateProvince,county,Rostrum_length,Rostrum_width,Upper_incisor_depth,Upper_incisor_width,Condylobasal_length,Molar_toothrow_length,Molar_toothrow_width,Jaw_level_length,Lower_incisor_width,totalLength,tailLength,hindfootLength,earLength,headbodyLength
NCSM,5600,Blarina brevicauda,female,New York,Greene,10.59,2.99,0.8,1.49,21.33,5.93,2.13,9.55,1.43,119,22,14,,97
NCSM,5617,Blarina brevicauda,male,Pennsylvania,Sullivan,9.94,2.99,0.71,2.2,21.68,6,1.94,9.45,1.76,120,24,19,,96
NCSM,14408,Blarina brevicauda,male,North Carolina,Polk,9.3,2.77,0.97,1.66,20.87,5.93,1.78,9.21,1.86,104,25,14,,79
NCSM,5614,Blarina brevicauda,male,West Virginia,Randolph,10.83,3.12,0.78,1.7,22.43,6.13,2.3,9.37,1.64,125,24,15,8,101
NCSM,13825,Blarina brevicauda,female,Alabama,Jackson,9.13,2.87,0.79,1.4,19.31,5.2,1.56,8.56,1.64,89,18,13,3,71
NCSM,14635,Condylura cristata,female,North Carolina,Henderson,17.73,3.25,0.48,1.65,30.77,6.28,1.45,12.57,1.27,179,62,24,,117
NCSM,9558,Condylura cristata,unknown,Virginia,Prince William,16.74,3.13,0.68,1.56,30.4,5.65,1.57,9.3,0.78,170,53,30,,117
NCSM,7213,Condylura cristata,female,North Carolina,Hoke,16.02,3.15,0.83,1.63,31.22,5.97,1.57,10.57,0.9,161,58,25,,103
NCSM,19423,Condylura cristata,female,North Carolina,Moore,17.02,3.17,0.82,1.63,29.24,5.45,1.4,9.95,1.32,141,48,19,,93
NCSM,19422,Condylura cristata,male,North Carolina,Polk,16.44,3.18,0.73,1.55,29.61,6.64,1.45,10.53,1.05,154,60.5,21,3,93.5
UMMZ,91057,Condylura cristata,male,Michigan ,Livingston,15.49,3.12,0.77,1.66,32.91,6.55,1.34,12.53,1.38,189,77,27,,112
NCSM,13462,Cryptotis parva,female,Alabama,Jackson,7.09,1.76,0.6,1.33,14.84,3.86,1.06,5.92,1.01,76,16,10,3,60
NCSM,17376,Cryptotis parva,female,Kentucky,Bell,7.51,1.7,0.52,1.06,14.41,4.03,1.13,6.14,1.02,79,18,10,,61
NCSM,13464,Cryptotis parva,male,North Carolina,Rutherford,6.74,1.88,0.45,1.3,14.03,3.66,1.29,5.95,1.04,69,14,9,3,55
NCSM,5621,Cryptotis parva,male,North Carolina,Gates,6.97,1.78,0.44,1.3,14.82,3.43,1.21,5.88,1.02,78,15,9,,63
NCSM,5619,Cryptotis parva,female,Virginia,Portsmouth,6.64,1.6,0.45,1.05,14.67,4.3,1.19,6.03,1.08,69,12,9,,57
NCSM,Prep P19.8.2,Glaucomys sabrinus ,male,North Carolina,Haywood,11.43,5.16,1.88,3.19,36.59,7.53,2.23,12.91,2.69,302,131,38,20,171
UMMZ,83617,Glaucomys sabrinus ,female,Minnesota,Beltrami,11.15,5.41,1.79,2.96,39.3,8.88,2.14,14.95,2.44,295,124,,20,171
NCSM,733,Glaucomys volans ,male,North Carolina,Pender,9.27,3.97,1.61,2.54,30.64,6.1,1.8,11.55,2.25,206,68,28,18,138
NCSM,732,Glaucomys volans ,male,North Carolina,Transylvania,9.56,4.56,1.78,2.66,32.21,6.3,1.88,12.06,2.15,222,89,30,22,133
NCSM,14987,Glaucomys volans ,male,North Carolina,Wake,10.14,4.78,1.83,2.47,32.85,6.32,1.8,12.53,2.16,232,104,30,19,128
NCSM,15493,Glaucomys volans ,female,North Carolina,Johnston,9,3.69,1.67,2.6,30.72,6.36,1.8,11.65,2.11,211,97,28,16.5,114
NCSM,5914,Glaucomys volans ,female,New York,Schuyler,9.69,4.66,1.72,2.57,30.73,6.57,1.83,11.93,2.09,234,104,32,21,130
UMMZ,178343,Glaucomys volans ,male,Michigan ,Houghton,9.48,4.78,1.79,2.49,34.09,6.44,1.81,12.49,2.01,215,86,25,16,129
NCSM,16321,Microtus chrotorrhinus ,male,Tennessee,Sevier,7.27,2.98,1.31,2.65,26.04,6.23,1.33,8.59,2.07,153,52,21,,101
NCSM,14694,Microtus chrotorrhinus ,male,North Carolina,Haywood,7.68,2.75,1.44,2.54,27.04,6.37,1.29,9.07,2.01,167,50,21,13,117
NCSM,14374,Microtus chrotorrhinus ,female,Tennessee,Sevier,7.14,2.86,1.32,2.62,26.27,6.09,1.33,8.3,2.11,165,47,19,13,118
UMMZ,85990,Microtus chrotorrhinus ,female,West Virginia,Pochohantas,7.72,3.96,1.27,2.69,25.34,6.52,1.41,8.78,2.07,158,42,21,15,116
UMMZ,107345,Microtus chrotorrhinus ,male,North Carolina,Haywood,7.64,3.69,1.33,2.63,27.25,6.97,1.36,7.72,2.03,165,49,21,13.5,116
UMMZ,84024,Microtus pennsylvanicus  ,female,Pennsylvania,Butler,6.32,2.98,1.26,2.39,23.91,6.04,1.21,7.99,1.9,124,33,19,13,91
UMMZ,85979,Microtus pennsylvanicus  ,female,West Virginia,Preston,8.24,2.98,1.48,3.02,27.13,6.75,1.31,11.02,2.28,158,38,20,15,120
UMMZ,99023,Microtus pennsylvanicus  ,male,West Virginia,Pochohantas,7.5,3.21,1.39,2.9,28.57,6.61,1.31,10.38,2.32,159,42,21,13.5,117
UMMZ,107174,Microtus pennsylvanicus  ,female,New York,Madison,6.69,3.24,1.38,2.63,26.16,6.14,1.31,10.28,2.21,167,37,21,9.5,130
UMMZ,107191,Microtus pennsylvanicus  ,male,New York,Madison,7.21,3.28,1.61,2.63,26.96,6.62,1.44,8.07,2.35,171,49,21.5,11,122
NCSM,2447,Microtus pinetorum,male,North Carolina,Wake,7.22,2.71,1.33,2.59,23.27,5.71,1.36,8.77,2.23,108,15,15,4,93
NCSM,2451,Microtus pinetorum,female,North Carolina,Lee,7.57,2.23,1.2,2.35,22.51,5.54,1.17,8.32,2.04,99,18,13,8,81
NCSM,2454,Microtus pinetorum,female,North Carolina,Wake,7.45,2.91,1.43,2.61,23.95,5.94,1.43,9.13,2.19,116,21,15,9,95
NCSM,2453,Microtus pinetorum,male,North Carolina,Wake,7.68,3.1,1.35,2.39,23.55,5.59,1.33,7.38,2.01,113,26,18,,87
NCSM,2455,Microtus pinetorum,male,North Carolina,Bertie,9.25,2.73,1.45,2.6,23.83,6.01,1.38,9.52,2.38,108,15,15,8,93
UMMZ,88167,Microtus pinetorum,female,Virginia,Patrick,7.08,3.26,1.31,2.66,24.75,6.11,1.23,8.23,2.32,126,24,16,11,102
UMMZ,88168,Microtus pinetorum,female,Virginia,Patrick,7.99,3.08,1.31,2.44,25.13,5.95,1.24,9.27,2.13,131,27,17,12,104
NCSM,304,Mus musculus ,male,North Carolina,Dare,7.31,1.87,1.13,1.42,19.16,3.16,1.07,6.26,1.27,141,74,18,13,67
NCSM,305,Mus musculus ,female,North Carolina,Dare,6.69,2.37,1.07,1.44,18.96,3.12,1.05,6.28,1.23,140,70,18,12,70
NCSM,699,Mus musculus ,male,North Carolina,Wake,7.64,1.65,1.03,1.56,19.12,3.22,1.1,6.41,1.73,150,75,17,13,75
NCSM,700,Mus musculus ,female,North Carolina,Wake,8.46,2.38,1.13,1.52,21.97,3.27,1.19,7.33,1.4,152,88,19,8,64
NCSM,701,Mus musculus ,male,North Carolina,Wake,7.2,2.01,1.03,1.65,19.85,3.47,1.14,6.39,1.14,148,67,16,13,81
UMMZ,55271,Myodes gapperi ,male,Michigan ,Otsego,6.96,2.94,1.15,2.39,24.2,5.22,1.11,7.43,2.08,140,36,19,9,104
UMMZ,55722,Myodes gapperi ,male,Michigan ,Otsego,6.68,2.86,1.02,1.98,23.41,5.5,1.13,7.27,2.01,131,36,20,9,95
UMMZ,55723,Myodes gapperi ,female,Michigan ,Otsego,7.36,3,1.1,2.13,22.81,5.48,1.26,6.7,1.72,126,33,18,11,93
UMMZ,85104,Myodes gapperi ,female,Virginia,Giles,8.04,3.81,1.33,2.53,26.53,5.76,1.53,8.77,1.91,163,48,19,14,115
UMMZ,85105,Myodes gapperi ,female,Virginia,Giles,7.52,3.49,1.17,2.38,25.94,5.46,1.37,7.98,1.77,136,27,18,12,109
NCSM,13894,Napaeozapus insignis,male,North Carolina,Watauga,9.53,2.69,1.3,1.83,20.17,3.54,1.13,6.62,1.32,216,133,28,13,83
