institutionCode,catalogNumber,otherIdentifier,otherNumber,month,year,binomial,Freshly_killed,massing,totalLength,tailLength,headbodyLength,sex,ageClass,reproductivelyActive,Liver_mass,Cecum_full_mass,Cecum_length,Cecum_curved_length,Cecum_empty_mass,Cecum_dry_mass,Stomach_full_mass,Stomach_length,Stomach_curved_length,Stomach_empty_mass,Stomach_dry_mass,LI_full_mass,LI_length,LI_empty_mass,LI_dry_mass,SI_full_mass,SI_length,SI_empty_mass,SI_dry_mass,Intestine_full_mass (shrew/mole only),Intestine_length (shrew/mole only),Intestine_empty_mass (shrew/mole only),Intestine_dry_mass (shrew/mole only),Total_GI_length ,Total_GI_length_scaled
UNCG,143,,,,2020,Tamias striatus,Unknown,55,193,68,125,Female,adult,No,,1.6678,56,66,0.181,0.0299,6.2286,37,69,0.3418,0.048,0.7512,171,0.2024,0.024,2.5768,750,0.617,0.1127,,,,,1056,8.448
UNCG,148,,,December,2021,Peromyscus maniculatus ,No ,15,[136],[58],78,Female,adult,No,0.4408,0.5687,42,,0.0562,0.0241,0.2546,35,,0.1734,0.0516,0.1233,80,,0.0162,0.7092,530,0.361,0.0678,,,,,,
UNCG,149,,,December,2021,Peromyscus maniculatus ,No ,15.75,168,91,77,Male,adult,No,0.2823,0.1525,,,0.0987,0.0163,0.2959,25,,0.2265,0.0421,0.0692,48,0.0297,0.004,0.9879,319,0.3459,0.0714,,,,,,
UNCG,150,,,December,2021,Peromyscus maniculatus ,No ,12.25,154,83,71,Female,adult,No,0.3676,0.2426,49,,0.0879,0.0114,0.2277,23,,0.1804,,0.1901,109,0.0819,0.0108,0.5543,442,0.0992,0.0193,,,,,,
UNCG,151,,,December,2021,Peromyscus maniculatus ,No ,16.25,178,98,80,Male,adult,No,0.3974,0.3439,36,,0.137,0.0166,0.2144,26,,0.1994,0.0459,0.2121,125,0.1602,0.0201,0.9966,359,0.1927,0.021,,,,,,
UNCG,152,,,December,2021,Peromyscus maniculatus ,No ,15.25,169,88,81,Female ,adult,No,0.4968,0.6149,40,,0.1486,0.0221,0.3506,29,,0.299,0.0711,0.2646,101,0.1691,0.022,1.122,349,0.4065,0.0775,,,,,,
UNCG,153,,,December,2021,Peromyscus maniculatus ,No ,18,179,95,84,Female,adult,No,0.5847,0.4599,42,,0.1134,0.0131,0.3421,31,,0.2705,0.0567,0.3131,146,0.2202,0.0297,0.7927,339,0.3826,0.0607,,,,,,
UNCG,154,,,December,2021,Peromyscus maniculatus ,No ,12,149,81,68,Female,adult,No,0.3054,0.4677,35,,0.0656,0.0081,0.2106,24,,0.1838,0.0332,0.2417,103,0.1257,0.007,0.4676,276,0.0822,0.0061,,,,,,
UNCG,155,,,January,2022,Peromyscus maniculatus ,No ,13.25,149,78,71,Male,adult,No,0.3222,0.4572,32,41,0.1025,0.0096,0.2338,26,35,0.2166,0.0424,0.2131,90,0.1604,0.0167,0.9197,294,0.4867,0.0418,,,,,460,6.478873239
UNCG,156,,,January,2022,Peromyscus maniculatus ,No ,14.25,153,77,76,Male,adult,No,0.5058,0.6346,31,44,0.1344,0.0135,0.3461,21,37,0.2495,0.0508,0.2196,103,0.1202,0.0157,0.8188,385,0.4661,0.0492,,,,,569,7.486842105
UNCG,157,,,January,2022,Peromyscus maniculatus ,No ,12.5,159,88,71,Female,adult,No,0.5851,0.3061,28,37,0.0848,0.0083,0.2004,25,29,0.1786,0.0336,0.1576,72,0.0893,0.0106,,,,,,,,,,
UNCG,158,,,January,2022,Peromyscus maniculatus ,No ,15.5,158,82,76,Male,adult,No,0.4682,0.4698,39,50,0.1673,0.0156,0.2777,25,33,0.2355,0.0536,0.1821,78,0.1633,0.0242,0.9621,302,0.3778,0.0477,,,,,463,6.092105263
UNCG,159,,,January,2022,Peromyscus maniculatus ,No ,16.25,157,84,73,Male,adult,No,0.5557,0.6542,40,48,0.133,0.0156,0.3579,20,30,0.2722,0.0558,0.2753,93,0.1719,0.0216,1.1841,393,0.4177,0.0543,,,,,564,7.726027397
UNCG,160,,,January,2022,Peromyscus maniculatus ,No ,16,163,92,71,Male,adult,No,0.5069,0.5802,36,44,0.1759,0.0223,0.4463,27,38,0.3226,0.0661,0.2477,72,0.1199,0.017,1.1046,333,0.1842,0.024,,,,,487,6.85915493
UNCG,161,,,January,2022,Peromyscus maniculatus ,No ,14,143,76,67,Female,adult,No,0.5377,0.7824,36,37,0.0935,0.0109,0.2376,23,33,0.1822,0.0392,0.2274,94,0.1138,0.0152,1.0698,321,0.1732,0.0256,,,,,485,7.23880597
UNCG,162,,,January,2022,Peromyscus maniculatus ,No ,13,143,72,71,Male,adult,No,0.3681,0.6028,35,40,0.1965,0.0268,0.2834,22,31,0.2009,0.0435,0.2467,77,0.1902,0.0194,0.7393,305,0.178,0.0207,,,,,453,6.38028169
UNCG,163,,,January,2022,Peromyscus maniculatus ,No ,15.25,153,77,76,Male,adult,No,0.5179,0.4728,43,43,0.1211,0.0111,0.4211,26,35,0.2756,0.0533,0.232,98,0.1099,0.0144,0.9408,359,0.2403,0.0286,,,,,535,7.039473684
UNCG,164,,,January,2022,Peromyscus maniculatus ,No ,13,149,79,70,Female,adult,No,0.4113,0.5283,31,39,0.1286,0.0114,0.2097,21,26,0.1875,0.0391,0.2391,95,0.1464,0.0234,0.9959,337,0.2275,0.0315,,,,,497,7.1
